video_id,count,clicks
cv_3089,2,0
cv_9086,1,0
cv_3091,2,0
cv_6497,1,0
cv_9160,1,0
cv_569,2,0
cv_4238,1,0
cv_4792,2,0
cv_11280,2,0
cv_10046,1,0
cv_3548,2,0
cv_7942,1,0
cv_234,2,0
cv_5434,2,0
cv_9566,1,0
cv_6466,2,0
cv_4834,1,0
cv_36,1,0
cv_4449,1,0
cv_4982,2,0
cv_5676,2,0
cv_6506,3,0
cv_18,1,0
cv_5604,1,0
cv_2406,1,0
cv_11042,3,0
v051,2,0
cv_7912,1,0
v055,1,0
cv_4842,2,0
v017,1,0
cv_8632,1,0
cv_648,1,0
cv_656,1,0
cv_4669,2,0
cv_10613,1,0
cv_8589,3,0
cv_10627,1,0
cv_8874,2,0
cv_4296,1,0
cv_8646,1,0
cv_6417,2,0
cv_6421,2,0
cv_2422,2,0
cv_790,1,0
cv_1416,2,0
cv_8645,1,0
cv_6424,2,0
cv_7584,2,0
cv_10114,1,0
v041,2,0
cv_1562,1,0
cv_3285,1,0
cv_9963,2,0
cv_253,2,0
cv_6519,3,0
cv_3918,2,0
cv_1673,2,0
cv_1695,2,0
cv_4771,2,0
cv_3935,2,0
cv_11743,1,0
cv_10062,1,0
cv_7960,2,0
cv_11276,2,0
cv_171,2,0
cv_10928,2,0
cv_2968,2,0
cv_5583,2,0
cv_1631,1,0
cv_204,2,0
cv_261,1,0
cv_10937,2,0
cv_12199,2,0
cv_10116,1,0
cv_1122,2,0
cv_2989,2,0
cv_6413,3,0
cv_10102,1,0
cv_4991,1,0
cv_9943,2,0
cv_2176,1,0
cv_8266,1,0
cv_5670,2,0
cv_6200,1,0
cv_5690,2,0
cv_9881,2,0
cv_7966,2,0
cv_9798,2,0
cv_4980,1,0
cv_5354,1,0
cv_7421,1,0
cv_473,2,0
cv_6208,1,0
cv_9916,2,0
cv_130,1,0
cv_4774,1,0
cv_8277,2,0
cv_4567,2,0
cv_11079,2,0
cv_1423,1,0
cv_5953,2,0
cv_10848,2,0
cv_9865,2,0
cv_9872,2,0
cv_4661,1,0
cv_12710,1,0
cv_123,1,0
cv_9793,2,0
cv_3328,1,0
cv_9784,2,0
cv_9740,1,0
cv_4764,2,0
cv_10101,1,0
cv_8977,1,0
cv_8953,1,0
cv_10044,12,0
cv_10536,2,0
cv_8964,3,0
cv_12193,2,0
cv_4306,2,0
cv_10020,1,0
cv_9933,2,0
cv_9063,1,0
